_1541240,0013826,_0824465
0680903,_0156990,_0999563
0612570,_1356391,0629495
_0710876,0600366,0574972
0426258,0334127,_0652498
1322069,_0961636,0413466
_1183102,_0064172,0969226
_0989737,_0292438,_0925783
0233993,_0158093,_0835882
0484881,_1078621,0231863
_0890338,0557568,0466103
0516294,0332720,_0777284
1436396,_1019904,0493660
_1158340,_0015791,0990982
_0905941,_0315491,_0916139
0198173,_0164829,_0787006
0423265,_1049309,0196879
_0904782,0558290,0410740
0569120,0342269,_0786290
1456612,_1035159,0538891
_1169674,_0001262,0993488
_0873281,_0310865,_0920624
0215063,_0190359,_0766441
0349567,_1034244,0213409
_0945473,0583713,0342491
0650967,0424811,_0810774
1593549,_0923468,0605956
_1347825,_0236758,0999741
_1342309,_0070778,_0975245
0659374,_0219307,_0974010
0463395,_1276921,0612622
_0878096,0702579,0446988
0584494,0676321,_0769524
1743789,_0298246,0551777
_1023267,_1654557,0985074
_0356155,1255092,_0853813
1168039,1225235,_0348673
0692325,0298178,0919984
_0260164,_1183759,0638329
_1104941,1133379,_0257239
0795717,1583902,_0893438
0446390,0265663,0714366
_0140667,_1084861,0431712
_1083895,0966297,_0140203
0954121,1349038,_0883787
0929905,0409508,0815806
0042511,_1112714,0801563
_1405909,0878102,0042498
0887587,1325573,_0986437
1086916,0451383,0775551
0155039,_1105564,0885197
_1500391,0797625,0154418
0853407,1187065,_0997523
1395164,0440449,0753525
0212215,_1267438,0984616
_1278457,0860594,0210625
0757380,1235871,_0957572
1271873,0517783,0687020
0329927,_1043231,0955654
_1666715,0608812,0323974
0734369,0792283,_0995403
1925467,_0112343,0670119
_0702260,_1912441,0937761
0014252,0505892,_0645944
1551704,_0344146,0014252
_0707967,_1516323,0999818
_0701628,1300233,_0650291
0847991,1440251,_0645462
0518556,0412818,0749953
0067062,_0868366,0495626
_1426168,0469987,0067011
0813998,0384114,_0989560
1687673,_1099862,0727038
_1171010,0002217,0993178
_0864941,_0310226,_0921144
0217851,_0196000,_0761057
0332649,_1029837,0216132
_0955059,0588098,0326548
0668656,0440433,_0816348
1616976,_0900974,0619932
_1377603,_0288065,0998934
_1430147,0015642,_0981396
0836631,_0197900,_0990125
0497823,_1403981,0742390
_0722121,0645782,0477514
0537614,0450786,_0660978
1490099,_0800062,0512088
_1386120,_0459332,0996746
_1681611,0344814,_0982996
1434859,0219006,_0993866
1281754,_1664907,0990775
_0289532,_0121677,0958517
_1220294,_0769519,_0285503
_0741238,1007289,_0939200
1665980,1232149,_0675201
0881620,0105831,0995474
_0689947,_1509313,0771770
_0501061,1298386,_0636496
0852880,1319871,_0480356
0632440,0471433,0753178
0144900,_0812120,0591115
_1559286,0297816,0144394
0505582,0099342,_0999934
1197091,_1293749,0484317
_0662750,0298063,0930981
_0274280,_0331381,_0615287
_0064967,_0515588,_0270854
_0644014,_0270372,_0064921
_0506836,_0385335,_0600410
_0173687,_0269204,_0485413
_0083069,_0680899,_0172815
_0826257,0137660,_0082974
0381286,_0432952,_0735400
_0099242,_0741078,0372115
_1367799,0292463,_0099079
0691682,0018570,_0979467
0978047,_1433581,0637833
_0512680,0348317,0829408
_0105893,_0335568,_0490514
_0192855,_0616780,_0105695
_0876822,0053068,_0191662
0296793,_0452120,_0768710
_0085833,_0646518,0292455
_1284751,0056005,_0085727
0198098,_0249398,_0959367
0425845,_0950319,0196804
_1041873,0399886,0413090
0408351,0062750,_0863351
0990173,_1250720,0397097
_0695112,0394678,0836121
_0025717,_0137677,_0640472
0336902,_0927841,_0025714
_0848484,0414548,0330565
0491969,_0010124,_0750279
0710879,_1314055,0472362
_0647281,0552868,0652500
0317883,0183056,_0603020
0996046,_1107842,0312556
_0897461,0297511,0839328
_0159422,_0199034,_0781746
0348698,_0781864,_0158747
_0826774,0098504,0341674
_0101445,_0459582,_0735750
_0121972,_0372683,_0101271
_0640037,_0537999,_0121670
_0816790,0143705,_0597225
0877136,_0433324,_0728952
_0147536,_1034734,0768911
_1501089,0905432,_0147001
1014644,1416762,_0997571
0872174,0342263,0849293
_0096522,_1210651,0765729
_1181699,1042822,_0096372
0805492,1515831,_0925252
0619155,0356768,0721171
0021008,_1038832,0580347
_1307781,0801830,0021006
0956955,1120055,_0965610
1476306,0330468,0817441
0016281,_1513487,0995539
_0749450,0849084,0016280
0930227,0940914,_0681237
1486785,0087617,0801755
_0448407,_1800271,0996473
_0200297,0618701,_0433530
1414877,0062524,_0198960
0302856,_1783882,0987869
_0225391,0173062,0298247
0081174,_0766888,_0223487
_0765859,0235839,0081085
0427321,_0362729,_0693156
_0044530,_0910248,0414434
_1306758,0627023,_0044515
1023880,0703766,_0965344
1873270,_0478565,0854132
_1469849,_1334949,0954602
_0920929,1811314,_0994909
0124894,0869401,_0796164
1724914,0434628,0124570
0735050,_1392850,0988147
_0960806,0510801,0670624
0296178,0261095,_0819654
1365092,_0996720,0291867
_1031864,_0023282,0978917
_0936255,_0376856,_0858257
0042227,_0037496,_0805344
0721319,_1023296,0042214
_0791091,0341191,0660376
0069473,_0183698,_0711121
0310834,_0947155,0069417
_0920888,0466789,0305853
0583044,0140698,_0796139
1081221,_1312092,0550568
_0693252,0352553,0882533
_0133454,_0219413,_0639042
0166055,_0774562,_0133059
_0853826,0198655,0165293
0276170,_0358798,_0753800
0028558,_0821938,0272673
_1236331,0395137,0028554
0749370,0146501,_0944586
1218274,_1405356,0681178
_0583424,0251179,0938505
_0375705,_0449239,_0550884
_0301144,_0219234,_0366928
_0107726,_0666924,_0296613
_0700751,0119772,_0107517
0367755,_0518044,_0644792
_0280223,_0543686,0359521
_1295275,_0065915,_0276570
0087655,_0241270,_0962283
0447082,_0889946,0087543
_0997922,0271302,0432336
0177855,_0186332,_0840347
0432520,_1014580,0176919
_0937509,0502530,0419160
0516996,0229793,_0806086
1278556,_1177863,0494271
_0903648,0222578,0957601
_0408039,_0303089,_0785589
0145576,_0478694,_0396810
_0482257,_0490864,0145063
_1032951,_0060701,_0463780
0283226,_0367044,_0858815
0119823,_0810980,0279455
_1249027,0311507,0119536
0539808,_0001353,_0948677
0920205,_1343714,0513971
_0605550,0429266,0795726
0051181,_0120007,_0569214
0303486,_0991041,0051158
_0847330,0546939,0298848
0661624,0283951,_0749515
1313410,_1188166,0614399
_0980860,0214099,0967059
_0420903,_0272454,_0830976
0244292,_0518539,_0408585
_0511079,_0463893,0241870
_1098011,_0103011,_0489119
0206905,_0314193,_0890304
0239668,_0856511,0205432
_1144471,0333480,0237380
0470226,_0012073,_0910492
0864903,_1300480,0453088
_0648647,0466790,0761032
0133609,_0013528,_0604108
0572814,_1086197,0133212
_0779896,0512771,0541999
0400388,0166414,_0703206
1057005,_1176668,0389776
_0834761,0326159,0870887
_0148070,_0185661,_0741136
0335639,_0803847,_0147529
_0827712,0156851,0329372
0035432,_0415808,_0736385
_0066162,_0554539,0035424
_0981895,_0178424,_0066114
_0328807,_0311695,_0831552
0180417,_0514511,_0322914
_0591842,_0432076,0179440
_0997329,_0122341,_0557890
0236744,_0352331,_0840025
0125870,_0808616,0234539
_1205414,0302291,0125538
0517512,_0036344,_0933987
0829636,_1326177,0494719
_0633696,0483216,0737685
0172621,0014086,_0592127
0622044,_1111382,0171765
_0772511,0510952,0582697
0359674,0158026,_0697935
1036237,_1158836,0351969
_0836704,0323685,0860493
_0142223,_0188849,_0742439
0330534,_0804226,_0141745
_0833198,0160945,0324549
0048816,_0409002,_0740086
_0053350,_0577171,0048797
_1010408,_0132808,_0053324
_0244752,_0337817,_0847049
0155830,_0523148,_0242316
_0679700,_0396202,0155200
_0924110,_0143676,_0628560
0263278,_0374474,_0798085
0049120,_0784065,0260247
_1243031,0296357,0049100
0573894,_0028822,_0946764
0853566,_1361988,0542906
_0597362,0459127,0753629
0127594,_0060967,_0562463
0425474,_1071887,0127248
_0799830,0586248,0412752
0578423,0351091,_0717238
1403013,_1024791,0546704
_1198869,0004562,0985957
_0847603,_0297182,_0931629
0252833,_0226895,_0749696
0258626,_1015418,0250148
_1011029,0613937,0255752
0748974,0532030,_0847379
1732828,_0742228,0680887
_1496248,_0672124,0986902
_1787462,0888756,_0997223
1629964,1472970,_0976620
0589197,0033618,0998250
_0891149,_1370349,0555693
_0587340,1529707,_0777794
0472010,1211433,_0554149
0957811,0678484,0454677
0582044,_0505290,0817934
_1697650,_0705626,0549733
_1409602,1036156,_0991965
1546813,1605022,_0987036
0338380,_0118600,0999712
_1251698,_1176936,0331960
_0769058,1687369,_0949519
0302390,1053900,_0695459
1393475,0640836,0297802
0744935,_0800459,0984320
_1909659,_0099868,0677924
_0683765,_0024499,_0943133
0847810,_0568269,_0631716
_0365762,_0712367,0749833
_1740268,0395083,_0357661
1036013,0331434,_0985674
1565542,_1316487,0860379
_0864152,0147498,0999986
_0607322,_0403827,_0760545
_0051404,_0171356,_0570670
0196049,_0881147,_0051381
_0868701,0412873,0194796
0617159,_0002413,_0763491
0731357,_1390463,0578720
_0577290,0514314,0667880
0266196,0050966,_0545755
0656099,_1164506,0263064
_0760868,0538116,0610030
0356304,0214501,_0689550
1143680,_1096737,0348813
_0940074,0211807,0910164
_0379963,_0296719,_0807601
0180061,_0506655,_0370886
_0536720,_0449907,0179090
_1019997,_0117746,_0511320
0202218,_0343863,_0852106
0152570,_0801806,0200842
_1175149,0269675,0151979
0435014,_0101154,_0922747
0682000,_1248948,0421423
_0740638,0565396,0630347
0355404,0267418,_0674759
1230725,_1025153,0347969
_1048506,0078463,0942731
_0673674,_0351897,_0866679
0121448,_0232107,_0623861
0126200,_0923972,0121150
_0999081,0542534,0125865
0823038,0354945,_0840974
1502774,_1160347,0733215
_1101592,0119908,0997687
_0622459,_0301451,_0891929
0235078,_0349838,_0583035
_0125802,_0812109,0232918
_1201902,0473519,_0125470
0981772,0296265,_0932727
1466821,_1347568,0831483
_0794231,0175761,0994599
_0553546,_0416549,_0713325
_0110238,_0177893,_0525707
0137099,_0836420,_0110015
_0844687,0356478,0136670
0588564,_0125821,_0747763
0445820,_1326926,0555167
_0713469,0710827,0431198
0588706,0603184,_0654461
1609574,_0478254,0555285
_1305331,_1262897,0999248
_1153562,1747621,_0964971
0150328,1130524,_0914213
1484531,0825662,0149762
0841146,_0400096,0996281
_1712790,_1083365,0745408
_1207724,1770392,_0989936
0125492,1105758,_0934810
1550268,0816957,0125163
0868230,_0442944,0999789
_1768146,_1009408,0763187
_1324095,1684529,_0980590
0235338,1338482,_0969723
1107665,0841481,0233171
0743849,_0202920,0894658
_1288331,_1345755,0677125
_0702612,1734659,_0960371
0239605,0917925,_0646213
1527295,0457815,0237319
0667022,_1279958,0999054
_1229295,0579402,0618649
0428771,0554558,_0942253
1872783,_0496478,0415753
_1184709,_1294518,0954747
_1073039,1696171,_0926390
0218113,1199222,_0878656
1314557,0832938,0216388
0774078,_0316334,0967350
_1565018,_1201009,0699057
_0982814,1825879,_0999983
0099536,0868287,_0832062
1762112,0448746,0099372
0772079,_1372948,0981755
_0994287,0500062,0697626
0265330,0254030,_0838371
1371733,_0987059,0262228
_1019885,_0041679,0980252
_0980714,_0379450,_0852048
0026141,_0009017,_0830895
0810646,_1016751,0026138
_0785058,0280397,0724732
_0096229,_0288285,_0706867
0104456,_0701990,_0096081
_0904015,0066785,0104267
0052555,_0432487,_0785816
_0038574,_0530907,0052530
_0980606,_0251951,_0038565
_0499697,_0223259,_0830835
0332215,_0537288,_0479160
_0459032,_0476354,0326138
_1195578,_0107630,_0443081
0147044,_0264760,_0930427
0369666,_0895514,0146515
_1051472,0331034,0361304
0350408,_0062057,_0868155
0719757,_1214452,0343281
_0735844,0530953,0659202
0301644,0183357,_0671213
1064843,_1097186,0297090
_0898305,0250903,0874713
_0277366,_0268543,_0782272
0210806,_0615220,_0273823
_0708791,_0212335,0209248
_0657503,_0425225,_0650916
_0189795,_0097505,_0611143
0392429,_0849007,_0188658
_0759746,0220324,0382434
0111528,_0386064,_0688737
_0073010,_0663721,0111297
_1107711,0089473,_0072945
0263906,_0317064,_0894678
0236921,_0888285,0260853
_1173012,0401089,0234711
0576874,0129239,_0921921
1179172,_1317333,0545406
_0666398,0304638,0924290
_0255953,_0318546,_0618159
_0040099,_0549470,_0253167
_0689630,_0207350,_0040088
_0409605,_0442328,_0636252
_0210064,_0212750,_0398247
_0062101,_0733197,_0208522
_0788992,0249669,_0062061
0589082,_0330878,_0709644
0011849,_1067422,0555598
_1237644,0845993,0011849
0937687,1186641,_0945016
1334130,0394433,0806192
0095854,_1337280,0972125
_1116865,0931909,0095707
0784583,1303275,_0898730
1068499,0511519,0706530
0277782,_0961985,0876479
_1704470,0514276,0274224
0709761,0579148,_0991079
1908109,_0607891,0651652
_1422553,_1039356,0943647
_1499191,1614636,_0989032
0333032,1536931,_0997437
0690626,0614401,0326910
0668537,_0511705,0637020
_1522093,_0742538,0619838
_1487476,1067128,_0998814
1483910,1676429,_0996531
0224633,_0225662,0996228
_1475814,_0998875,0222749
_0965259,1574312,_0995493
0535532,1362117,_0822196
0890820,0644754,0510298
0518687,_0551259,0777588
_1702416,_0559978,0495741
_1319086,0685661,_0991351
1835500,0851362,_0968488
1626168,_0451826,0965170
_1586609,_1326323,0998467
_0944773,1854656,_0999875
0070156,0780354,_0810364
1794337,0274163,0070098
0525997,_1705473,0975119
_0322526,0202746,0502075
_0058555,_0672962,_0316964
_0681130,0102508,_0058522
0283636,_0540724,_0629672
_0311052,_0437344,0279848
_1107651,_0285666,_0306061
_0325112,_0109222,_0894652
0643700,_0755232,_0319414
_0685441,_0144956,0600159
_0893306,_0507659,_0633014
_0320557,0217734,_0779148
1240375,_0656407,_0315095
_0723631,_0697421,0945906
_1900445,0576826,_0662110
1414475,0775939,_0946156
1762513,_0485679,0987807
_1603102,_1291711,0981679
_1003152,1863419,_0999478
0049360,0790055,_0843170
1823259,0309914,0049340
0604840,_1656121,0968300
_0397687,0251908,0568630
_0025535,_0562795,_0387287
_0565028,_0185212,_0025532
_0378293,_0541352,_0535440
_0408169,_0009127,_0369335
0343217,_0737546,_0396929
_0604082,_0001611,0336519
_0328837,_0617351,_0568007
_0420055,0141546,_0322942
0629466,_0671772,_0407811
_0604858,_0336262,0588713
_1252910,_0301219,_0568645
_0136591,_0016556,_0949898
0911183,_0910523,_0136166
_0766274,0040374,0790229
_0657405,_0517453,_0693456
_0250509,0106146,_0611064
0843056,_0804807,_0247897
_0741430,_0145518,0746679
_1029270,_0474640,_0675343
_0263641,0214817,_0856923
1314258,_0696292,_0260597
_0779859,_0633194,0967274
_1901799,0453348,_0703179
1330612,0492396,_0945717
1687643,_1126626,0971294
_1305936,0029711,0993181
_0774155,_0246868,_0965129
0386916,_0343166,_0699112
_0005737,_0920851,0377335
_1258766,0622259,_0005737
0989305,0671243,_0951712
1864631,_0539349,0835644
_1516083,_1193576,0957140
_1211939,1804574,_0998504
0082224,1030238,_0936299
1676245,0749799,0082132
0932387,_0637841,0994445
_1905516,_0590469,0803045
_1517593,0809786,_0944502
1721025,1220703,_0998585
1133452,0085158,0988737
_0684009,_1650545,0905880
_0339501,1075515,_0631905
1293868,1082660,_0333016
0939492,0127068,0961900
_0603665,_1526122,0807258
_0506818,1225969,_0567664
0939435,1310333,_0485398
0651312,0425710,0807225
0039726,_0921796,0606231
_1486573,0594515,0039715
0939682,0696982,_0996455
1916166,_0450956,0807370
_1395376,_1404873,0940950
_0771272,1750824,_0984653
0227537,0922642,_0697048
1573244,0474584,0225579
0697952,_1258998,0999997
_1271228,0558355,0642650
0400206,0523065,_0955464
1862750,_0552490,0389608
_1216162,_1162163,0957683
_1342407,1660716,_0937774
0239136,1392319,_0974032
0991683,0816109,0236863
0751431,_0200111,0836948
_1227025,_1353323,0682685
_0699773,1704876,_0941490
0272474,0978574,_0644044
1452803,0546128,0269115
0721949,_1051399,0993047
_1653436,0380544,0660848
0252133,0277406,_0996587
1572901,_0944425,0249470
_1049827,_0190850,0999998
_1314425,_0263726,_0867337
0175467,_0047423,_0967317
0858536,_1107174,0174568
_0777126,0370410,0756887
0022722,_0137611,_0701234
0397810,_0959378,0022720
_0859831,0433574,0387400
0464345,0035787,_0757732
0822755,_1293483,0447837
_0661872,0490338,0733022
0186926,0046820,_0614594
0717296,_1114738,0185839
_0777932,0458271,0657349
0234592,0042945,_0701808
0794289,_1146455,0232447
_0761624,0443745,0713365
0162758,0002254,_0690098
0693458,_1105580,0162040
_0772022,0462608,0639200
0256195,0049063,_0697585
0803036,_1158659,0253401
_0757884,0448723,0719468
0162637,0010807,_0687386
0709911,_1105173,0161921
_0772286,0452571,0651766
0232669,0027347,_0697774
0755504,_1148452,0230575
